// Format:
//
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//
//		Power Limit Table Parameter Definition
//
//		@@Ver=3.0
//
//	(1)	Version 3.0 support to add regulations in the Power Limit Table from column 4.
//		Customers can add new regulations by using DomainCode or CountryConde(ISO 3166-2).
//
//	(2)	Syntax:
//			1. @@DomainCode=xx,  Regulation=xx
//			2. @@CountryCode=xx,  Regulation=xx
//
//		ex.
//			   @@DomainCode=0x2B, Regulation=IC	//RTK define domain code 0x2B for IC in colume 4
//			   @@DomainCode=0x28, Regulation=KCC	//RTK define domain code 0x28 for KCC in colume 5
//			   @@DomainCode=0x62, Regulation=C6	//Customer define domain code 0x62 for C6 in colume 6
//			   @@CountryCode=US, Regulation=C6	//Customer define country code US for C6 in colume 6
//			   @@CountryCode=GB, Regulation=C7	//Customer define country code GB for C7 in colume 7
//
//		One DomainCode MUST has only one Regulation in Table.
//		One CountyCode MUST has only one Regulation in Table.
//
//	(3)	Error Syntax:
//
//			   @@DomainCode=0x2D, Regulation=C6
//			   @@DomainCode=0x2D, Regulation=C7
//			   @@CountryCode=US, Regulation=C8
//			   @@CountryCode=US, Regulation=C9
//
//
//	(4)	If want to disable Tx power limit for one DomainCode or CountryConde, you can write "NONE" in Regulation.
//
//		Syntax:
//			1. @@DomainCode=xx,  Regulation=NONE
//			2. @@CountryCode=xx,  Regulation=NONE
//
//		ex.
//			   @@DomainCode=0x2D, Regulation=NONE	//The domain code 0x2D will be disable in the Power Limit Table.
//			   @@CountryCode=US, Regulation=NONE	//The country code US will be disable in the Power Limit Table.
//
//
//
//
//		Band:			2.4G/5G
//		Bandwidth:		20/40/80 MHZ
//		RF Path:		1/2 Transmit RF
//		Rate Section:	CCK/OFDM/HT/VHT/HE
//		Regulation: FCC/ETSI/MKK/IC/KCC/ACMA/CHILE/UKRAINE/MEXICO/CN/QATAR/UK
//
//		Description:
//		1. IF in 1T test
//		2. power is real dBm.
//		3. // is for comment.
//
// 		NA is non-release channle.
//
//		Power limit table version : V03
@@Ver=3.0
@@CountryCode=CL, Regulation=CHILE
@@CountryCode=UA, Regulation=UKRAINE
//
//Table 1: ===========================================
//
##	2.4G, 20M, 1T, CCK, NA//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
CH128	18	12.5	18	NA	16	NA	13	10.5	18	NA	12.5	12.5
CH132	18	12.5	18	18	16	12.5	13	10.5	18	NA	12.5	12.5
CH136	18	12.5	18	18	16	12.5	13	10.5	18	NA	12.5	12.5
CH140	17	12.5	18	17	16	12.5	13	10.5	17	NA	12.5	12.5
CH144 	18	NA 	18	18	16	18	13	NA	18	NA	NA	19.5
//5G Band 4
CH149	20	4.5	NA	20	16	19	13	4.5	20	19.5	4.5	12.5
CH153	20	4.5	NA	20	16	19	13	4.5	20	19.5	4.5	12.5
CH157	20	4.5	NA	20	16	19.5	13.5	4.5	20	19.5	4.5	12.5
CH161	20	4.5	NA	20	16	19.5	13.5	4.5	20	19.5	4.5	12.5
CH165	20	4.5	NA	20	16	19.5	13.5	4.5	20	19.5	4.5	12.5
CH169	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH173	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH177	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END
//
//Table 17: ===========================================
//
##	5G, 20M, 2T, HE, BF//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH36	17.5	9.5	13	10.5	16	9.5	4	7.5	13	9.5	9.5	9.5
CH40	17.5	9.5	13	10.5	16	9.5	4	7.5	13	9.5	9.5	9.5
CH44	17.5	9.5	13	10.5	16	9.5	4	7.5	13	9.5	9.5	9.5
CH48	17.5	9.5	13	10.5	9	9.5	4	7.5	13	9.5	9.5	9.5
//5G Band 2
CH52	17.5	9.5	13	10.5	16	9.5	9.5	7.5	17.5	9.5	9.5	9.5
CH56	17.5	9.5	13	10.5	16	9.5	9.5	7.5	17.5	9.5	9.5	9.5
CH60	17.5	9.5	13	10.5	16	9.5	9.5	7.5	17.5	9.5	9.5	9.5
CH64	17.5	9.5	13	10.5	16	9.5	9.5	7.5	17.5	9.5	9.5	9.5
//5G Band 3
CH100	17.5	9.5	18	17.5	16	9.5	9.5	7.5	17.5	NA	9.5	9.5
CH104	17.5	9.5	18	17.5	16	9.5	9.5	7.5	17.5	NA	9.5	9.5
CH108	17.5	9.5	18	17.5	16	9.5	9.5	7.5	17.5	NA	9.5	9.5
CH112	17.5	9.5	18	17.5	16	9.5	9.5	7.5	17.5	NA	9.5	9.5
CH116	17.5	9.5	18	17.5	16	9.5	9.5	7.5	17.5	NA	9.5	9.5
CH120	17	9.5	18	NA	16	NA	9.5	7.5	17	NA	9.5	9.5
CH124	17	9.5	18	NA	16	NA	9.5	7.5	17	NA	9.5	9.5
CH128	17	9.5	18	NA	16	NA	9.5	7.5	17	NA	9.5	9.5
CH132	17	9.5	18	17	16	9.5	9.5	7.5	17	NA	9.5	9.5
CH136	17	9.5	18	17	16	9.5	9.5	7.5	17	NA	9.5	9.5
CH140	17	9.5	18	17	16	9.5	9.5	7.5	17	NA	9.5	9.5
CH144 	17.5	NA 	18	17.5	16	18	9.5	NA	17.5	NA	NA	16
//5G Band 4
CH149	20	1.5	NA	20	16	19	9.5	1.5	20	18.5	1.5	9.5
CH153	20	1.5	NA	20	16	19	9.5	1.5	20	18.5	1.5	9.5
CH157	20	1.5	NA	20	16	19.5	9.5	1.5	20	18.5	1.5	9.5
CH161	20	1.5	NA	20	16	19.5	9.5	1.5	20	19.5	1.5	9.5
CH165	20	1.5	NA	20	16	19.5	9.5	1.5	20	19.5	1.5	9.5
CH169	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH173	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH177	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END
//
//Table 18: ===========================================
//
##	5G, 40M, 1T, HE, NA//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH38	17	16.5	16	16.5	18	16.5	11	13.5	16	16	16.5	16.5
CH46	20	16.5	16	16.5	17	16.5	11	13.5	16	16	16.5	16.5
//5G Band 2
CH54	20	16.5	16	16.5	19	16.5	17	13.5	20	16	16.5	16.5
CH62	17	16.5	16	16.5	17.5	16.5	17	13.5	17	16	16.5	16.5
//5G Band 3
CH102	16.5	16.5	19	16.5	18	16.5	16.5	13.5	16.5	NA	16.5	16.5
CH110	20	16.5	19	20	18	16.5	16	13.5	20	NA	16.5	16.5
CH118	20	16.5	19	NA	18	NA 	16	13.5	20	NA	16.5	16.5
CH126	20	16.5	19	NA	19	NA 	16.5	13.5	20	NA	16.5	16.5
CH134	19.5	16.5	19	19.5	19	16.5	16.5	13.5	19.5	NA	16.5	16.5
CH142 	20	NA	19	20	19	19	16.5	NA	20	NA	NA	19
//5G Band 4
CH151	20	7.5	NA	20	19	19	16.5	7.5	20	18	7.5	16.5
CH159	20	7.5	NA	20	19	19	16.5	7.5	20	19	7.5	16
CH167	20	NA 	NA	NA	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA
CH175	18	NA 	NA	NA	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA
##	END
//
//Table 19: ===========================================
//
##	5G, 40M, 2T, HE, NA//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH38	16	13.5	13	13.5	15	13.5	8	10.5	13	13	13.5	13.5
CH46	19.5	13.5	13	13.5	12.5	13.5	8	10.5	13	13	13.5	13.5
//5G Band 2
CH54	19.5	13.5	13	13.5	15.5	13.5	13	10.5	19.5	13	13.5	13.5
CH62	16	13.5	13	13.5	15	13.5	12.5	10.5	16	13	13.5	13.5
//5G Band 3
CH102 	14.5	13.5	18	14.5	15	13.5	12.5	10.5	14.5	NA	13.5	13.5
CH110	19.5	13.5	18	19.5	15	13.5	13	10.5	19.5	NA	13.5	13.5
CH118	19.5	13.5	18	NA	15	NA 	13	10.5	19.5	NA	13.5	13.5
CH126	19.5	13.5	18	NA	15.5	NA 	12.5	10.5	19.5	NA	13.5	13.5
CH134	17.5	13.5	18	17.5	15.5	13.5	12.5	10.5	17.5	NA	13.5	13.5
CH142 	19.5	NA	18	19.5	15.5	19	13	NA	19.5	NA	NA	19
//5G Band 4
CH151	20	4.5	NA	20	15	18.5	13.5	4.5	20	18	4.5	13.5
CH159	20	4.5	NA	20	15	19	13.5	4.5	20	19	4.5	13.5
CH167	17.5	NA 	NA	NA	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA
CH175	17	NA 	NA	NA	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA
##	END
//
//Table 20: ===========================================
//
##	5G, 40M, 2T, HE, BF//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH38	16	10.5	13	10.5	15	10.5	4.5	7.5	13	10	10.5	10.5
CH46	17.5	10.5	13	10.5	12.5	10.5	4.5	7.5	13	10	10.5	10.5
//5G Band 2
CH54	17.5	10.5	13	10.5	15.5	10.5	9.5	7.5	17.5	10	10.5	10.5
CH62	16	10.5	13	10.5	15	10.5	9.5	7.5	16	10	10.5	10.5
//5G Band 3
CH102 	14.5	10.5	18	14.5	15	10.5	9.5	7.5	14.5	NA	10.5	10.5
CH110	17.5	10.5	18	17.5	15	10.5	9.5	7.5	17.5	NA	10.5	10.5
CH118	17.5	10.5	18	NA	15	NA 	9.5	7.5	17.5	NA	10.5	10.5
CH126	17.5	10.5	18	NA	15.5	NA 	9.5	7.5	17.5	NA	10.5	10.5
CH134	17.5	10.5	18	17.5	15.5	10.5	9.5	7.5	17.5	NA	10.5	10.5
CH142 	17.5	NA	18	17.5	15.5	18	9.5	NA	17.5	NA	NA	16
//5G Band 4
CH151	20	1.5	NA	20	15	18.5	9.5	1.5	20	18	1.5	10.5
CH159	20	1.5	NA	20	15	19	9.5	1.5	20	19	1.5	10.5
CH167	17.5	NA	NA	NA	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA
CH175	17	NA	NA	NA	NA 	NA 	NA 	NA 	NA 	NA 	NA 	NA
##	END
//
//Table 21: ===========================================
//
##	5G, 80M, 1T, HE, NA//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH42	16.5	16.5	16.5	16	17.5	16.5	11	13.5	16	16	16.5	16.5
//5G Band 2
CH58	17	16.5	16.5	16.5	18	16.5	17	13.5	17	16	16.5	16.5
//5G Band 3
CH106	16	16.5	18	16	16.5	16.5	16.5	13.5	16	NA	16.5	16.5
CH122	19	16.5	18	NA	18	NA	16.5	13.5	19	NA	16.5	16.5
CH138 	19	NA	18	19	18	18	16.5	NA	19	NA	NA	18
//5G Band 4
CH155	19	7.5	NA	19	17	18	16.5	7.5	19	18	7.5	16.5
CH171	16.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END
//
//Table 22: ===========================================
//
##	5G, 80M, 2T, HE, NA//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH42	14.5	13.5	13.5	13.5	14	13.5	7.5	10.5	13	13	13.5	13.5
//5G Band 2
CH58	16	13.5	13.5	13.5	14.5	13.5	13.5	10.5	16	13	13.5	13.5
//5G Band 3
CH106	14.5	13.5	18	14.5	15	13.5	12.5	10.5	14.5	NA	13.5	13.5
CH122	18	13.5	18	NA	14.5	NA	13	10.5	18	NA	13.5	13.5
CH138	19	NA	18	19	14.5	18	13	NA	19	NA	NA	17.5
//5G Band 4
CH155	19	4.5	NA	19	14.5	18	13	4.5	19	18	4.5	13.5
CH171	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END
//
//Table 23: ===========================================
//
##	5G, 80M, 2T, HE, BF//
##	START
##	#12#
##	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE	MEXICO	CN	QATAR	UK
PShape	1	1	1	1	1	1	1	1	1	1	1	1
//5G Band 1
CH42	14.5	10.5	13.5	10.5	14	10.5	4.5	7.5	13	10	10.5	10.5
//5G Band 2
CH58	16	10.5	13.5	10.5	14.5	10.5	9	7.5	16	10	10.5	10.5
//5G Band 3
CH106	14.5	10.5	18	14.5	15	10.5	9	7.5	14.5	NA	10.5	10.5
CH122	17.5	10.5	18	NA	14.5	NA	9	7.5	17.5	NA	10.5	10.5
CH138	17.5	NA	18	17.5	14.5	18	9	NA	17.5	NA	NA	14.5
//5G Band 4
CH155	19	1.5	NA	19	14.5	18	9.5	1.5	19	18	1.5	10
CH171	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END
